method,status,objective,time,n_scenarios,n_facilities,instance,config,price_levels,gap_vs_continuous,rho,iterations
Continuous Price MIQP,2,-29955.158240831526,0.16823410987854004,10,3.0,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28947.764921716484,0.02473926544189453,10,3.0,1,c10_f5_cf2,3.0,0.033630044983099995,,
Discrete Price MILP,2,-29424.320914066928,0.060675859451293945,10,3.0,1,c10_f5_cf2,5.0,0.017721065684140513,,
Discrete Price MILP,2,-29848.04289519262,0.1038200855255127,10,3.0,1,c10_f5_cf2,8.0,0.0035758564444136297,,
Discrete Price MILP,2,-29871.137916168827,0.13744211196899414,10,3.0,1,c10_f5_cf2,10.0,0.0028048699989229806,,
Discrete Price MILP,2,-29932.755821216106,0.3256368637084961,10,3.0,1,c10_f5_cf2,15.0,0.0007478651735140573,,
Progressive Hedging,converged,-29045.611844447725,1.0849950313568115,10,3.0,1,c10_f5_cf2,,0.030363598451768784,5000.0,4.0
Continuous Price MIQP,2,-29884.142424114445,1.318390130996704,20,3.0,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28932.4043954011,0.053160905838012695,20,3.0,1,c10_f5_cf2,3.0,0.031847593790925,,
Discrete Price MILP,2,-29357.9176585986,0.11948633193969727,20,3.0,1,c10_f5_cf2,5.0,0.017608829393451795,,
Discrete Price MILP,2,-29788.184660303406,0.22346806526184082,20,3.0,1,c10_f5_cf2,8.0,0.0032109927214644543,,
Discrete Price MILP,2,-29794.899915639802,0.32796406745910645,20,3.0,1,c10_f5_cf2,10.0,0.0029862830663874183,,
Discrete Price MILP,2,-29862.562786151095,0.46068310737609863,20,3.0,1,c10_f5_cf2,15.0,0.0007221099958999315,,
Progressive Hedging,converged,-29029.726954633003,2.3012239933013916,20,3.0,1,c10_f5_cf2,,0.02859093151664235,5000.0,4.0
Continuous Price MIQP,2,-29913.289751945365,2.7397170066833496,50,3.0,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28841.39328547331,0.1868741512298584,50,3.0,1,c10_f5_cf2,3.0,0.03583345313607127,,
Discrete Price MILP,2,-29379.25503483187,0.5033650398254395,50,3.0,1,c10_f5_cf2,5.0,0.017852757805709624,,
Discrete Price MILP,2,-29821.869020981314,0.6945230960845947,50,3.0,1,c10_f5_cf2,8.0,0.0030561911351828517,,
Discrete Price MILP,2,-29827.082128341164,0.9904787540435791,50,3.0,1,c10_f5_cf2,10.0,0.002881917178587649,,
Discrete Price MILP,2,-29894.383427864126,2.320835828781128,50,3.0,1,c10_f5_cf2,15.0,0.000632037607298266,,
Progressive Hedging,converged,-28938.709534362148,7.43989896774292,50,3.0,1,c10_f5_cf2,,0.03258017508822604,5000.0,5.0
Continuous Price MIQP,2,-29868.182794725537,25.245744228363037,100,3.0,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28827.989345774393,0.48461484909057617,100,3.0,1,c10_f5_cf2,3.0,0.03482613777008333,,
Discrete Price MILP,2,-29337.288770447165,1.477334976196289,100,3.0,1,c10_f5_cf2,5.0,0.017774567268689787,,
Discrete Price MILP,2,-29777.52765674806,1.655595064163208,100,3.0,1,c10_f5_cf2,8.0,0.003035174205291272,,
Discrete Price MILP,2,-29795.824187291448,4.5612571239471436,100,3.0,1,c10_f5_cf2,10.0,0.0024225982521731155,,
Discrete Price MILP,2,-29837.64835960208,4.722180128097534,100,3.0,1,c10_f5_cf2,15.0,0.0010223064233036742,,
Progressive Hedging,converged,-28916.1471217997,12.321502923965454,100,3.0,1,c10_f5_cf2,,0.0318745763499867,5000.0,4.0
Continuous Price MIQP,9,,600.0680968761444,200,,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28830.463261648507,1.2787902355194092,200,3.0,1,c10_f5_cf2,3.0,,,
Discrete Price MILP,2,-29331.582356826624,3.415050983428955,200,3.0,1,c10_f5_cf2,5.0,,,
Discrete Price MILP,2,-29779.88684655973,6.1621081829071045,200,3.0,1,c10_f5_cf2,8.0,,,
Discrete Price MILP,2,-29783.190123909375,8.625578165054321,200,3.0,1,c10_f5_cf2,10.0,,,
Discrete Price MILP,2,-29851.43719827509,27.811674118041992,200,3.0,1,c10_f5_cf2,15.0,,,
Progressive Hedging,converged,-28340.54649863948,32.442673206329346,200,4.0,1,c10_f5_cf2,,,5000.0,4.0
