method,status,objective,time,n_scenarios,n_facilities,instance,config,price_levels,gap_vs_continuous,rho,iterations
Continuous Price MIQP,2,-52150.59141673058,35.97383999824524,10,6,1,c20_f10_cf5,,,,
Discrete Price MILP,2,-50587.79484614101,0.20013785362243652,10,7,1,c20_f10_cf5,3.0,0.02996699611901629,,
Discrete Price MILP,2,-51315.31494630167,0.5376667976379395,10,6,1,c20_f10_cf5,5.0,0.01601662508013183,,
Discrete Price MILP,2,-51936.64888508731,0.8372621536254883,10,6,1,c20_f10_cf5,8.0,0.004102398953325001,,
Discrete Price MILP,2,-52094.162256861215,1.4968886375427246,10,6,1,c20_f10_cf5,10.0,0.0010820425681934633,,
Discrete Price MILP,2,-52116.68545951245,6.19658899307251,10,6,1,c20_f10_cf5,15.0,0.0006501547978083167,,
Progressive Hedging,converged,-50049.76074352969,5.617779016494751,10,8,1,c20_f10_cf5,,0.040283928065424,5000.0,8.0
Continuous Price MIQP,2,-52321.66584247811,7.20334792137146,20,6,1,c20_f10_cf5,,,,
Discrete Price MILP,2,-50686.31783137019,0.45314908027648926,20,7,1,c20_f10_cf5,3.0,0.031255656424078244,,
Discrete Price MILP,2,-51562.45239317493,0.9729270935058594,20,5,1,c20_f10_cf5,5.0,0.014510498415492075,,
Discrete Price MILP,2,-52112.87270506453,1.411172866821289,20,6,1,c20_f10_cf5,8.0,0.003990567464770374,,
Discrete Price MILP,2,-52212.8193407315,3.8367276191711426,20,6,1,c20_f10_cf5,10.0,0.0020803332614506794,,
Discrete Price MILP,2,-52287.87178842739,7.7415931224823,20,6,1,c20_f10_cf5,15.0,0.0006458902541915995,,
Progressive Hedging,max_iter,-50289.030079391145,140.85835909843445,20,6,1,c20_f10_cf5,,0.03884883499708342,5000.0,100.0
Continuous Price MIQP,2,-52012.45743014549,25.47558093070984,50,6,1,c20_f10_cf5,,,,
Discrete Price MILP,2,-50339.07084488788,1.047645092010498,50,8,1,c20_f10_cf5,3.0,0.03217280374619923,,
Discrete Price MILP,2,-51086.95002130267,4.788350343704224,50,6,1,c20_f10_cf5,5.0,0.017793956574457395,,
Discrete Price MILP,2,-51749.52279856256,9.121791124343872,50,6,1,c20_f10_cf5,8.0,0.005055224163097116,,
Discrete Price MILP,2,-51949.23575508218,12.011991739273071,50,6,1,c20_f10_cf5,10.0,0.0012155102486402928,,
Discrete Price MILP,2,-51990.88486510934,24.400649309158325,50,6,1,c20_f10_cf5,15.0,0.00041475765810761514,,
Progressive Hedging,converged,-49351.53067244511,43.49867510795593,50,8,1,c20_f10_cf5,,0.05115941236335738,5000.0,10.0
